Campus ID,surname,name,NetID,email,id
N62772948,MacIlhagga,Hildagard Kaylil,hkm9858,hkm9858abc.edu,62772948
N75031965,Snodden,Bastien,bs9513,bs9513abc.edu,75031965
N71302002,Halladey,Shae,sh2148,sh2148abc.edu,71302002
N44332962,Scottini,Milicent Conway,mcs7241,mcs7241abc.edu,44332962
N45388179,Abramov,Jeniece Carling,jca1494,jca1494abc.edu,45388179
N51885548,Liccardo,Doe Eldredge,del2201,del2201abc.edu,51885548
N96298171,Kindleside,Orlando Kynthia,okk3742,okk3742abc.edu,96298171
N17895962,MacIlory,Leonardo Noby,lnm2813,lnm2813abc.edu,17895962
N33497242,Decruse,Klemens Angelika,kad1217,kad1217abc.edu,33497242
N70692883,Caisley,Petey Melesa,pmc4696,pmc4696abc.edu,70692883
N27851754,Hounsom,Federica Wolfgang,fwh4453,fwh4453abc.edu,27851754
N18133981,Bartram,Conrad,cb9686,cb9686abc.edu,18133981
N34801126,Le febre,Fabien,fl6174,fl6174abc.edu,34801126
N72681849,Balducci,Erminie Stephan,esb1986,esb1986abc.edu,72681849
N90958878,Ternouth,Evanne,et1449,et1449abc.edu,90958878
N87188276,Klezmski,Bethanne Valentine,bvk407,bvk407abc.edu,87188276
N26697477,Donaghy,Bobbye Bartolomeo,bbd9251,bbd9251abc.edu,26697477
N89155756,Fleckno,Egor Cassaundra,ecf9187,ecf9187abc.edu,89155756
N91968487,Tyas,Noach,nt4325,nt4325abc.edu,91968487
N66825371,Cawsey,Wells Charmine,wcc8484,wcc8484abc.edu,66825371
N27278616,Broadbridge,Elise Waylon,ewb8982,ewb8982abc.edu,27278616
N93081866,Thomasset,Nero,nt4263,nt4263abc.edu,93081866
N47068942,Sinney,Feodora,fs4918,fs4918abc.edu,47068942
N57812403,Mandy,Aurel,am2286,am2286abc.edu,57812403
N13738358,Hartles,Raoul,rh4171,rh4171abc.edu,13738358
N56513530,Lamperti,Auberon,al4442,al4442abc.edu,56513530
N44637542,Lifsey,Hyacinthie,hl4303,hl4303abc.edu,44637542
N25300989,Feighry,Jeramey,jf3913,jf3913abc.edu,25300989
N63782969,Judgkins,Victoria,vj4982,vj4982abc.edu,63782969
N28381858,Pellew,Valina Alexandra,vap184,vap184abc.edu,28381858
N86479414,Luberto,Kristoffer Yancey,kyl9956,kyl9956abc.edu,86479414
N31102617,Amdohr,Sol Sarena,ssa2526,ssa2526abc.edu,31102617
N13394933,Lytlle,Florenza Raffarty,frl42,frl42abc.edu,13394933
N44279451,Ilyinykh,Nichol,ni9962,ni9962abc.edu,44279451
N53277419,Litherland,Peria Renell,prl3896,prl3896abc.edu,53277419
N23255980,Broadey,Colby Ewell,ceb6564,ceb6564abc.edu,23255980
N37975618,Kembley,Peadar,pk642,pk642abc.edu,37975618
N95810397,O'Gleasane,Murielle Ursala,muo7732,muo7732abc.edu,95810397
N45716715,Benam,Godfry Janette,gjb8750,gjb8750abc.edu,45716715
N84259973,Gully,Georgia Gaynor,ggg2206,ggg2206abc.edu,84259973
N93965529,Cutbush,Romy Opalina,roc9435,roc9435abc.edu,93965529
N66084497,Hurworth,Patric,ph7354,ph7354abc.edu,66084497
N47252401,Jaimez,Nomi Elaine,nej615,nej615abc.edu,47252401
N78974777,Siegertsz,Roxine Mychal,rms3434,rms3434abc.edu,78974777
