Campus ID,surname,name,NetID,email,id
N14311643,MacIlhagga,Hildagard Kaylil,hkm9858,hkm9858abc.edu,14311643
N19945573,Snodden,Bastien,bs9513,bs9513abc.edu,19945573
N12041791,Halladey,Shae,sh2148,sh2148abc.edu,12041791
N10130925,Scottini,Milicent Conway,mcs7241,mcs7241abc.edu,10130925
N11759574,Abramov,Jeniece Carling,jca1494,jca1494abc.edu,11759574
N14530918,Liccardo,Doe Eldredge,del2201,del2201abc.edu,14530918
N15995247,Kindleside,Orlando Kynthia,okk3742,okk3742abc.edu,15995247
N16569728,MacIlory,Leonardo Noby,lnm2813,lnm2813abc.edu,16569728
N10213398,Decruse,Klemens Angelika,kad1217,kad1217abc.edu,10213398
N18904630,Caisley,Petey Melesa,pmc4696,pmc4696abc.edu,18904630
N16796606,Hounsom,Federica Wolfgang,fwh4453,fwh4453abc.edu,16796606
N15542394,Bartram,Conrad,cb9686,cb9686abc.edu,15542394
N10997397,Le febre,Fabien,fl6174,fl6174abc.edu,10997397
N13965916,Balducci,Erminie Stephan,esb1986,esb1986abc.edu,13965916
N10654727,Ternouth,Evanne,et1449,et1449abc.edu,10654727
N13878144,Klezmski,Bethanne Valentine,bvk407,bvk407abc.edu,13878144
N13705417,Donaghy,Bobbye Bartolomeo,bbd9251,bbd9251abc.edu,13705417
N12943509,Fleckno,Egor Cassaundra,ecf9187,ecf9187abc.edu,12943509
N19344124,Tyas,Noach,nt4325,nt4325abc.edu,19344124
N19051087,Cawsey,Wells Charmine,wcc8484,wcc8484abc.edu,19051087
N12839125,Broadbridge,Elise Waylon,ewb8982,ewb8982abc.edu,12839125
N19962371,Thomasset,Nero,nt4263,nt4263abc.edu,19962371
N14484960,Sinney,Feodora,fs4918,fs4918abc.edu,14484960
N18622940,Mandy,Aurel,am2286,am2286abc.edu,18622940
N10808560,Hartles,Raoul,rh4171,rh4171abc.edu,10808560
N14821030,Lamperti,Auberon,al4442,al4442abc.edu,14821030
N16254488,Lifsey,Hyacinthie,hl4303,hl4303abc.edu,16254488
N16536783,Feighry,Jeramey,jf3913,jf3913abc.edu,16536783
N19881816,Judgkins,Victoria,vj4982,vj4982abc.edu,19881816
N16145924,Pellew,Valina Alexandra,vap184,vap184abc.edu,16145924
N16300962,Luberto,Kristoffer Yancey,kyl9956,kyl9956abc.edu,16300962
N18478372,Amdohr,Sol Sarena,ssa2526,ssa2526abc.edu,18478372
N14767875,Lytlle,Florenza Raffarty,frl42,frl42abc.edu,14767875
N16542627,Ilyinykh,Nichol,ni9962,ni9962abc.edu,16542627
N15282213,Litherland,Peria Renell,prl3896,prl3896abc.edu,15282213
N13317970,Broadey,Colby Ewell,ceb6564,ceb6564abc.edu,13317970
N19753538,Kembley,Peadar,pk642,pk642abc.edu,19753538
N16833988,O'Gleasane,Murielle Ursala,muo7732,muo7732abc.edu,16833988
N16583949,Benam,Godfry Janette,gjb8750,gjb8750abc.edu,16583949
N13477938,Gully,Georgia Gaynor,ggg2206,ggg2206abc.edu,13477938
N10940146,Cutbush,Romy Opalina,roc9435,roc9435abc.edu,10940146
N14315988,Hurworth,Patric,ph7354,ph7354abc.edu,14315988
N19536243,Jaimez,Nomi Elaine,nej615,nej615abc.edu,19536243
N18093080,Siegertsz,Roxine Mychal,rms3434,rms3434abc.edu,18093080
